<class 'datetime.date'>,Maharashtra,75995
<class 'datetime.date'>,Tamil Nadu,38892
<class 'datetime.date'>,Delhi,26270
<class 'datetime.date'>,Gujarat,7125
<class 'datetime.date'>,Uttar Pradesh,6711
<class 'datetime.date'>,West Bengal,5761
<class 'datetime.date'>,Rajasthan,3441
<class 'datetime.date'>,Telangana,8785
<class 'datetime.date'>,Andhra Pradesh,8071
<class 'datetime.date'>,Karnataka,7076
<class 'datetime.date'>,Haryana,4340
<class 'datetime.date'>,Madhya Pradesh,2626
<class 'datetime.date'>,Bihar,2464
<class 'datetime.date'>,Assam,2888
<class 'datetime.date'>,Jammu and Kashmir,2674
<class 'datetime.date'>,Odisha,2094
<class 'datetime.date'>,Unknown*,0
<class 'datetime.date'>,Punjab,1557
<class 'datetime.date'>,Kerala,2114
<class 'datetime.date'>,Uttarakhand,609
<class 'datetime.date'>,Chhattisgarh,595
<class 'datetime.date'>,Jharkhand,591
<class 'datetime.date'>,Tripura,300
<class 'datetime.date'>,Goa,716
<class 'datetime.date'>,Manipur,681
<class 'datetime.date'>,Ladakh,324
<class 'datetime.date'>,Himachal Pradesh,370
<class 'datetime.date'>,Puducherry,431
<class 'datetime.date'>,Nagaland,312
<class 'datetime.date'>,Chandigarh,70
<class 'datetime.date'>,Dadra and Nagar Haveli,127
<class 'datetime.date'>,Arunachal Pradesh,128
<class 'datetime.date'>,Mizoram,38
<class 'datetime.date'>,Andaman and Nicobar Islands,55
<class 'datetime.date'>,Sikkim,38
<class 'datetime.date'>,Meghalaya,10
<class 'datetime.date'>,Lakshadweep,0
<class 'datetime.date'>,Daman and Diu,0
