2020-07-02,Maharashtra,79091
2020-07-02,Tamil Nadu,41050
2020-07-02,Delhi,26304
2020-07-02,Gujarat,7510
2020-07-02,Uttar Pradesh,6869
2020-07-02,West Bengal,6083
2020-07-02,Rajasthan,3358
2020-07-02,Karnataka,9410
2020-07-02,Telangana,9008
2020-07-02,Andhra Pradesh,8586
2020-07-02,Haryana,4414
2020-07-02,Madhya Pradesh,2702
2020-07-02,Bihar,2509
2020-07-02,Assam,3112
2020-07-02,Jammu and Kashmir,2734
2020-07-02,Odisha,2008
2020-07-02,Unknown*,0
2020-07-02,Punjab,1488
2020-07-02,Kerala,2090
2020-07-02,Uttarakhand,589
2020-07-02,Chhattisgarh,622
2020-07-02,Jharkhand,579
2020-07-02,Tripura,308
2020-07-02,Goa,713
2020-07-02,Manipur,681
2020-07-02,Himachal Pradesh,372
2020-07-02,Ladakh,295
2020-07-02,Puducherry,459
2020-07-02,Nagaland,338
2020-07-02,Chandigarh,55
2020-07-02,Arunachal Pradesh,128
2020-07-02,Mizoram,34
2020-07-02,Daman and Diu,79
2020-07-02,Dadra and Nagar Haveli,66
2020-07-02,Andaman and Nicobar Islands,64
2020-07-02,Sikkim,38
2020-07-02,Meghalaya,12
2020-07-02,Lakshadweep,0
